"volume","open_lastclose_ratio","high_close_ratio","close_lastclose_ratio","ad_ratio","obv_ratio","sar_ratio","apo5_ratio","rsi5_ratio","willi5_ratio","macdsignal5_ratio","cmo5_ratio","ppo5_ratio","roc5_ratio","ultosc5_ratio"
0.1903484305,-0.0853242321,0.1148890671,-0.1444144465,0.0030139778,-0.0011207076,-0.057906676,-0.0085995086,-0.028776903,0.0049040976,2.26609572003813E-06,0.0001630539,-0.0084177332,-0.0101791605,0.0994477344
0.4700280787,0.3793103448,0.0153538385,0.9727225939,-0.0244589021,0.0031419045,-0.4082836262,-0.0162162162,0.3278002165,-0.0317016317,-1.60432721543293E-05,-0.0012987813,-0.0161321637,-0.1749317067,0.2354558445
0.3563015989,0.064516129,0.0449027351,0.363986519,-0.0301291123,0.0017851182,0,-0.0551801802,0.0201207061,0.0368663594,-3.72676310534227E-05,0.000336298,-0.0548219097,0.0107481565,0.0207578412
0.1817876498,0.0628930818,0.1811298491,-0.1182765418,0.0021013861,-0.0007654394,0.0319528717,0.0448648649,-0.0155581905,0.095371669,-9.84523948878632E-05,-0.0002017478,0.0444527119,-0.0020987808,-0.0163306275
0.1660703573,-0.0951374207,0.2763690923,-0.2385535325,0.0339060318,-0.0007612383,0.0463440362,0.0123958545,-0.0321467515,0.0430107527,6.05843052610914E-05,-0.0005141459,0.0121506364,-5.16011632559558E-05,0.0281348612
0.1111086401,0,0.1978975554,0.1213288397,0.0040329378,0.0005541754,0.043299427,0.0101699638,0.0141305753,-0.0006190247,1.76213720078496E-05,0.0005425782,0.0098589557,0.0071818206,0.0074689632
0.1061363692,-0.1279317697,0.1538692863,-0.1503675652,0.0007883862,-0.0004999075,0.0404709464,-0.0040489928,-0.0245666002,0.0508684864,0.00000068,-0.0006000215,-0.0041165739,-0.0212586022,-0.1720000926
0.1165419426,0.1131465517,0.2635658915,-0.1063915337,0.0088331405,-0.0005797456,0.0378412327,-0.0108346232,-0.0192610754,0.0046850998,-8.80180347255681E-06,-0.0017383999,-0.0108190747,0.3120969022,-0.2063440271
0.2443132432,-0.016286645,0.1558850411,-0.0765715397,0,-0.001295224,0.0353945711,-0.0162957075,-0.0157366877,-0.0037779715,-1.65692094087359E-05,0.001045597,-0.0162319216,-0.001721793,-0.0044065028
0.1761689757,-0.114628821,0.3601081191,-0.0615916053,0.0160176455,-0.0010831888,0.0331167064,-0.0345345345,-0.0145046967,0.0036866359,-2.66397011811696E-05,0.0003779137,-0.0343186903,-0.0080621728,-0.0089822192
0.2096672835,0.1480263158,0.0152880833,0.3402395915,-0.016447209,0.0014570293,0.030994681,0.1297297297,0.0986883759,-0.0276054591,-2.51411146405235E-06,-0.0015991891,0.127947213,-0.0161309294,0.2106387377
0.175568649,-0.0642398287,0.0758717841,0.1057080763,-0.0116933766,0.0010563548,0.0290166936,-0.0046598322,0.01461495,0,2.74605800540483E-05,0.0003491478,-0.0046605584,-0.0886543133,0.002725465
0.1527134885,0.0637619554,0.0757912408,0.0149888179,-0.008834516,0.0008260267,0.0271719767,-0.0202702703,0.0020781453,-0.0007867821,2.08105471386604E-05,3.70598182922824E-05,-0.020150559,0.0129859242,0.0596734523
0.1677026119,-0.0796178344,0.0151261332,0.0299458123,-0.0305983508,0.0008338396,0.0254506889,-0.0870870871,0.0047732821,-0.0113752122,1.29537856983498E-05,8.21923970375399E-05,-0.0866228288,0.0070470277,0.0884495087
0.1212962155,0,0.0602492395,0.0597647356,-0.0217312458,0.0005539675,0.0238438207,0.0364864865,0.0098023446,0.0172694689,9.37081575398355E-06,0.0001567101,0.0361646587,0.0060279123,0.186344833
0.2051670974,-0.1265822785,0.1781172944,0.2082939732,-0.0682147582,0.0008848707,0.0223431116,0.0092006901,0.0242317795,0.0342741935,0.000013779,0.0003399453,0.009057784,-0.0049766675,-0.0469733421
0.1600449845,-0.1247401247,0.1953977968,-0.1759394297,-0.1566765923,-0.0006308826,0.0385447556,-0.0008580009,-0.0483642932,0.0381231672,2.52622646659791E-06,-0.0005351954,-0.0009144066,-0.014088672,-0.0929581285
0.1547812064,0.0473684211,0.243047996,-0.1484681854,0.0760999959,-0.0006540218,0.0352822813,-0.0050952592,-0.0396090335,0.0134408602,-7.06828021326986E-06,-0.0010204178,-0.0051114844,-0.0252821034,-0.0781283313
