"open","open_lastclose_ratio","close_lastclose_ratio","close_ma15_ratio","close_ma30_ratio","sar_ratio","adosc5_ratio","adxr5_ratio","roc5_ratio","rocr5_ratio"
0.807775378,-0.0802929427,-0.1015788473,-0.5980787152,-0.6564856191,-0.1121986074,7.37286393184523E-05,0.6300470937,0.0049701763,-0.0770226044
0.8207343413,0.4046979866,0.4437200384,-0.2453468628,-0.4169249425,-0.0978029673,-0.0006125943,-0.0918582097,-0.0461730685,0.8148072401
0.8326133909,0,0.2473596442,-0.0247570444,-0.2659363349,-0.6078990475,-0.0008499736,0.0162904631,0.104831704,0.3223469252
0.8509719222,0.0511450382,0.3882224646,0.2739349796,-0.0464596416,0.0135796283,-0.0013323772,0.1767635645,0.0253662002,0.2782181382
0.8585313175,-0.3722222222,-0.2354497354,0.1282740578,-0.1554940753,0.0328998081,-0.0009054933,0.136838736,-0.0131609979,-0.2311214832
0.8520518359,-0.1516981132,0.1119496855,0.2152307823,-0.0884135314,0.0314600497,-0.0016222854,-0.6947771635,0.0118563399,0.1414258408
0.8747300216,0.2004987531,0.0475596722,0.236808858,-0.0515855852,0.0300884576,0.0001946283,-0.3578694917,-0.0164198445,-0.2515139676
0.8660907127,-0.0749068323,0.0473824312,0.2800822271,-0.0134934173,0.0458531786,-0.000902433,-0.4320304127,-0.0141587827,-0.1288847498
0.8660907127,-0.1492574257,-0.1101485149,0.2116349952,-0.0609769054,0.0428669483,0.0012225798,-0.3763592678,-0.0541471449,-0.3177455385
0.8660907127,0.025093633,-0.0476190476,0.1830222769,-0.0780466972,0.0400894364,0.0002866356,-0.4633836032,-0.0519243484,0.1257400499
0.8531317495,-0.2015037594,-0.5417114214,-0.1715359304,-0.3499184076,0.0375042826,0.0025296793,0.3415595871,-0.5254406297,-0.4257303331
0.8390928726,0.3420157068,-0.1497756171,-0.2703227017,-0.407257348,0.5849438179,0.0016095466,0.0046537516,0.0120500713,-0.1291732046
0.8088552916,-0.1597350993,0.1515610218,-0.1812014653,-0.309882707,-0.0128973226,-7.64557844634538E-05,0.1145601013,-0.0047778945,0.0681949454
0.8358531317,0.2630890052,-0.1331338818,-0.2809910414,-0.3573101115,-0.0294185105,0.0003032164,-0.1151686647,0.0012273476,-0.0152341938
0.8174946004,0.0265873016,-0.1009070295,-0.3484283481,-0.3827973137,-0.0283414693,0.0003489205,0.3496384872,0.0027394589,-0.0351437489
0.8164146868,0.1608,0.9154285714,0.2193138058,0.1080303044,-0.0273003313,-0.0011112982,0.3104468679,-0.0724982371,1
0.86825054,0,-0.0632551528,0.1518642406,0.0906456481,-0.6573538845,-0.0005605527,0.4558246145,0.0053648541,0.0575247099
0.86825054,0.1005,-0.1271428571,0.0571079981,0.0392501233,0.0157364286,-3.85822093586774E-05,-0.2284927203,-0.0149269366,-0.1809613366
0.8574514039,0.0507575758,-0.0963203463,0.0075295194,0.0041422864,0.0153927352,0.0001239473,-0.3442035891,0.0032080627,0.0244437752
0.8563714903,0.1790076336,-0.016175936,0.0037679583,0.0074098317,0.0150571659,0.000215553,-0.3653968972,0.0068218355,0.0561167528
0.8477321814,0,0.0161965423,0.0271662292,0.0240344176,0.0147295022,0.000583115,-0.1780559898,-0.0573555177,-0.5511453798
0.8606911447,0.2812977099,0.3235187205,0.2527753491,0.1968804502,0.0144095324,-0.0010666345,-0.0354881723,-0.0517451728,0.2553949941
0.8650107991,-0.1246898263,-0.0946472882,0.1910319891,0.1495665819,0.0140970518,-0.0008995275,-0.2333817986,0.013442169,0.021566424
0.8639308855,0,-0.2066071429,0.0544297038,0.0421900685,0.013791862,0.0002824283,-0.8009988706,-0.0338783903,-0.0730155476
0.8585313175,0.2043202033,-0.1292430568,-0.0219586342,-0.0214158739,0.0134937709,0.0008806965,-0.4385495859,-0.2716192616,-0.0743838087
