"close_lastclose_ratio","volume_ma5_ratio","trsrange_ratio","ma5_ratio","dmi5_ratio","apo5_ratio","aroonup5_ratio","macdhist5_ratio","dx5_ratio","cmo5_ratio"
-0.2808716707,0.0519721522,-0.0462962963,-0.3972588794,0.0002203901,0.0033504846,-0.2,0.0022580806,0.0002203901,0.0025527783
-0.1020408163,-0.1237476803,-0.0714285714,-0.368307277,-2.22712804483286E-18,0,0.4,-0.0005501206,-2.22712804483286E-18,0.0005587929
0.39015755,-0.1261076778,0.193452381,-0.1419880494,-0.0096409062,-0.001987084,-0.1,-0.0094490729,-0.0096409062,-0.0163500597
0.2006226219,-0.2169556481,-0.0714285714,0.098611252,-0.0075326181,-0.0053137366,-0.2,0.0147490424,-0.0075326181,-0.0367709626
-0.2576896787,0.0653896622,0.0119047619,-0.0327983858,0.0035831064,-0.0033456005,0,-0.0018853275,0.0035831064,-0.0476647537
-0.1006769658,-0.0610216183,-0.078125,0.0656447224,0.0117209043,-0.0090374107,0.6,-0.0028456818,0.0117209043,0.0101808333
-0.1823262312,0.0747020237,0.0793650794,0.0218496302,0.0107703717,-0.0168618267,-0.0666666667,-0.0064101158,0.0107703717,0.0107218049
0.0614515275,0.0298406597,-0.0549450549,-0.1528730208,0,-0.0163934426,-0.1,-0.1025574581,0,-0.0049857667
1,0.625114972,0.7936507937,0.2739201446,0.0014661317,0.262295082,0.8,0.1942665359,0.0014661317,-0.0503587051
-0.0192467231,0.0164503908,-0.1202623907,0.4029436414,0.0014665973,0.0409836066,0,0.000672959,0.0014665973,-0.0008819316
0.077076412,-0.1150687485,0.0223214286,0.4965013328,0.0017041856,0.0117096019,0,-0.0007632486,0.0017041856,0.0015430875
0.0575396825,-0.2427148329,-0.0297619048,0.6191767536,-0.0034449595,0.0095628415,-0.04,-0.0014641918,-0.0034449595,0.0011663204
0.0764541111,-0.1231300357,0,0.6212848067,0.001823392,0.0078731665,-0.05,-0.0017372646,0.001823392,0.0015566312
0.2092832541,0.0873193344,0.0714285714,0.2181172316,0.0032410711,-0.000291439,0.1333333333,-0.0004243084,0.0032410711,0.003389088
-0.1878846777,0.0173227782,-0.0255102041,0.1240358843,-0.0047459011,-0.0018544618,-0.04,-0.0047211716,-0.0047459011,-0.010193111
-0.1710353866,0.0877408857,0.0297619048,-0.010307849,-0.0074050982,-0.0039310806,-0.05,-0.0190726207,-0.0074050982,-0.0155441854
-0.0768084754,-0.1790544441,-0.0680272109,-0.0824817269,-0.0108872739,-0.0072615249,-0.0666666667,0.0051285452,-0.0108872739,-0.0341891059
-0.1736238151,-0.160990226,0.0137362637,-0.2169129956,0.0246417773,-0.0158009086,-0.1,0.0025252012,0.0246417773,0.0852463749
-0.1754621849,-0.1126115569,0,-0.4255526107,0.0136295332,-0.3387978142,-0.2,0.0011855406,0.0136295332,0.0119876853
-0.197044335,0.1781759825,0.0637755102,-0.4296244093,0.0125713778,0.0147263129,0,0.000607261,0.0125713778,0.0062027943
-0.0199415506,-0.0087229395,-0.0281954887,-0.3491358797,-0.0049166421,0.0046838407,0,-0.0010819371,-0.0049166421,0.0004386959
0.0399311532,-0.0797345808,-0.0223214286,-0.2878952108,0.0067757011,0.0021630237,0.2,-0.0023189206,0.0067757011,-0.003443439
0.478021978,0.2673941745,0.2678571429,0.0643895652,-0.0059181324,-0.0027154782,0.8,-0.009307808,-0.0059181324,-0.0298884553
0.0193591455,0.0212435781,-0.1071428571,0.1714596281,9.91612524404099E-18,-0.0068707811,-0.04,0.0064823188,9.91612524404099E-18,0.0013475645
0.1353558926,0.0482802361,-0.012755102,0.3522902219,0.004360046,-0.015355883,0.05,0.0018404356,0.004360046,0.0088059333
0.1917989418,0.093833982,-0.0137362637,0.4660635915,0.0038472571,-0.2524590164,0,0.0012634841,0.0038472571,0.0066751204
0.2464857797,0.617413966,0.2083333333,0.5765945495,0.0077732788,0.0186703097,0,0.0011664926,0.0077732788,0.0043581112
0.4670639394,0.1902827081,0.0412087912,0.579634727,0.0020982316,0.0053225463,0,0.00247639,0.0020982316,0.0036364939
0.1090225564,-0.0094443739,-0.0334821429,0.6233410096,0.0002431905,0.0036162006,0,-0.0004931457,0.0002431905,0.0004859919
0.4693432929,0.0658386025,0.0755494505,0.8063028525,0.0015927623,0.0030943446,0,0.0009982959,0.0015927623,0.001442493
0.544188862,0.0008183039,-0.0048262548,1,0.0008334161,0.0031568454,0,0.0014676666,0.0008334161,0.0008119544
-0.4419047619,-0.0774163754,-0.0148809524,0.6004877882,-0.0018916527,0.0003250824,-0.04,-0.0038171173,-0.0018916527,-0.0107115121
0,-0.2532494332,0.0432900433,0.3536263588,-0.0077186609,-0.0008652095,-0.05,-0.0063060786,-0.0077186609,6.64630296185772E-18
-0.261929851,-0.2394800723,-0.0304878049,0.1517245706,-2.86975960357658E-18,-0.0021633575,-0.0666666667,-1,-2.86975960357658E-18,-0.0129330398
-0.0709697155,-0.1955879999,-0.0525210084,-0.1323119052,-0.0115128841,-0.0052060257,-0.1,0.0029500432,-0.0115128841,-0.0101488641
0.0356374808,-0.1827228561,-0.0520833333,-0.4075876239,0.0045777482,-0.0116864145,-0.2,-0.0001303281,0.0045777482,0.0108771081
-0.0533415083,-0.0901578132,0.031512605,-0.1913122714,-0.0095717137,-0.0231769361,0,-0.0003090417,-0.0095717137,-0.0141547767
0.0891896048,-0.2274012297,-0.0178571429,-0.144098171,6.34647778843748E-17,0.0355191257,0.2,-0.0015877852,6.34647778843748E-17,0.0903245188
-0.3548485775,0.0442733924,0.0396825397,-0.1927494746,0.1706894399,0.0077653149,-0.2,0.0023037073,0.1706894399,-0.0575918644
0.1450453267,-0.1238496982,-0.0324675325,-0.0774321881,0.0037439343,-0.0008782201,0.2,-0.0016037748,0.0037439343,-0.0134893617
