"volume","high_close_ratio","low_close_ratio","close_lastclose_ratio","volume_ma10_ratio","close_ma60_ratio","trsrange_ratio","natr5_ratio","adosc5_ratio","apo5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.0716415824,0.2133816947,0,-0.0791147628,0.0022798429,-0.1427669155,0.0888888889,-0.0210765333,5.62911831194941E-05,-0.0023730422,-8.34265398245784E-05,-4.80548491267548E-15,2.12483399720217E-05,-0.0022965886,-0.0109233781
0.1959307079,0.0824511704,-0.1921418894,0.477472674,0.2357162208,0.0175309062,0.24,0.3012194948,-0.0001748373,-0.0073995772,-0.0026674383,-5.12645430710975E-14,-0.0001561409,-0.0074138601,0.5619897289
0.2470850611,0.2010031986,-0.2997838098,0.3459309812,0.2604184544,0.135431121,0,0.1819792131,-0.0003112239,-0.0201550388,0.0008127765,-2.09927951366587E-15,6.44618140660337E-05,-0.0201762207,0.1168695429
0.062792327,0.202119883,-0.1884057971,-0.0749623305,-0.0712658612,0.1048067149,-0.0380952381,0.0446189865,-0.0003390828,-0.1918604651,-8.82062956212634E-05,-5.91176672804468E-15,-2.34256697807369E-05,-0.1919459954,-0.0193244718
0.0727693586,0.204390893,-0.0381045432,-0.1507575758,-0.0490357063,0.0500374186,-0.0533333333,-0.0626553962,9.94096733957585E-08,0.0176423416,-0.0003412453,-8.74703773853808E-15,-5.77258150652515E-05,0.0176077861,-0.0642858709
0.0550614197,0.0405365782,-0.1133583626,0.1143386108,-0.076792796,0.0888262682,-0.0444444444,-0.1283560581,-0.0002647108,0.0100319197,-0.0002013125,-7.06896579799893E-15,0.000066656,0.0099059426,0.1117504476
0.0339925844,0.1635127144,-0.1524181729,-0.113383135,-0.1182656225,0.0479975342,0.1333333333,0.0273738389,-0.0002702558,-0.001592864,-0.0006175028,-1.11721330246214E-13,-0.000065184,-0.001661758,-0.0886322068
0.1210433149,0.3326315789,-0.1162732919,-0.2286772217,0.0429787027,-0.0325232317,0.05,0.1272473156,0.0008109845,-0.0099179207,-0.007899278,5.45022426032059E-15,-0.0003090031,-0.0099437848,-0.1287853878
0.1208619084,0.1243814665,-0.154589372,0.0387662338,0.0309768566,-0.0183950581,-0.0484848485,-0.0379726352,3.34118934047327E-06,-0.015503876,6.25352444776823E-05,-5.23488764533427E-15,-3.03806842669666E-05,-0.0155322707,0.0095714747
0.0742579971,0.250907441,-0.0389805097,-0.115967366,-0.0556196151,-0.0576664421,0,-0.0189712833,0.0004538695,-0.0375670841,0.000129064,-2.77816180201518E-15,9.78653853959323E-05,-0.0375730494,-0.0371594222
0.0927351254,0.166792339,-0.1166064532,0.0389890282,-0.0260013216,-0.0433141241,0,-0.0267774493,0.0001851583,0.0813953488,-0.0001747519,-3.45811467201492E-16,-2.84003682116067E-05,0.0812157524,-0.0149976992
