"close_lastclose_ratio","volume_ma15_ratio","trsrange_ratio","b_middle5_ratio","ema5_ratio","adx5_ratio","aroonup5_ratio","willi5_ratio","cmo5_ratio","ppo5_ratio"
0.2493386243,0.0328704933,0.037593985,-0.082766802,0.1833357201,-0.3651460436,0.2,-0.0332630945,-0.0225559605,-0.0015990679
0.283433784,0.0020539691,-0.0077639752,0.0932846055,0.3685651913,-0.2403906564,0.8,-0.0508328316,0.1097301972,-0.0016126776
-0.0743113389,-0.0973227524,-0.0162337662,0.2585866741,0.1783494858,-0.152296264,0,0.3707467458,-0.0065336341,-0.0100970943
-0.0933075933,-0.1964963884,-0.0803571429,0.3908011048,0.037158648,-0.1321723471,-0.04,0.0477373068,-0.013076964,-0.049184484
-0.2064390875,-0.0388417116,0.0649350649,0.0815640147,-0.153842534,-0.2423919831,-0.05,0.0951386362,-0.0820007364,0.0072304597
-0.0950196592,-0.0857742826,0.0119047619,-0.1017701498,-0.1844013213,0.0413859526,-0.0666666667,0.0117273731,0.009928942,-0.0004225943
-0.0382270555,-0.1305930994,-0.0111607143,-0.2754036194,-0.1561933833,0.0324198579,-0.1,0.0038821649,0.0027661854,-0.0084158211
-0.1341040462,-0.0264868738,0,-0.3078925035,-0.2194785042,0.3084969344,-0.2,-0.0015636497,0.0082100329,-0.026528877
0.3283383283,-0.0567349454,0.0952380952,-0.0826715583,0.1335751842,-0.3265049275,0,-0.0422833949,-0.0227070056,0.0357356766
-0.0568163265,-0.0617962454,-0.0465838509,0,0.039401772,-0.3548704374,0,0.0215436187,-0.0182524247,0.0019409579
-0.1330275229,-0.0796240626,-0.0840336134,-0.0207060134,-0.0888523209,-0.3471493136,0.8,0.0492549669,-1,-0.0017287974
-0.3065235343,-0.0587954992,0.1388888889,-0.1657245309,-0.3229800501,0.5918432715,-0.05,0.0450331126,0.0304917106,-0.002624113
0,-0.0178503652,-0.0558035714,-0.093565388,-0.216952089,0.3631275762,-0.0666666667,0,3.01811020510955E-18,-0.0061023524
-0.1561500925,0.0803752515,0.0162337662,-0.3542073465,-0.278854058,0.5244724817,-0.1,-0.0014072848,0.0048430015,0.0123192889
-0.039408867,0.0134298998,-0.0148809524,-0.3465230761,-0.2207073684,0.3513738257,-0.2,0.001443369,0.000899184,0.0089671856
-0.2370168568,0.3140504847,0.6493506494,-0.402130008,-0.3504759988,0.5202869056,0,-0.0248063756,0.004158279,0.0063855564
-0.0200380031,0.0927801188,-0.0840336134,-0.2455940005,-0.2525940655,0.3284797125,0.2,0.0017057997,0.0002366503,0.0009621362
-0.2808716707,0.1469453922,-0.0462962963,-0.3972588794,-0.409088342,0.2347856034,-0.2,0.0203220361,0.0025527783,0.0034584583
-0.1020408163,0.0049464179,-0.0714285714,-0.368307277,-0.3617782833,0.1676217299,0.4,0.0070364238,0.0005587929,0.0001329359
0.39015755,0.0075353678,0.193452381,-0.1419880494,0.0879865753,-0.2390802018,-0.1,-0.0237674761,-0.0163500597,-0.0019079404
0.2006226219,-0.0993873558,-0.0714285714,0.098611252,0.2325084274,-0.3127258554,-0.2,-0.0491676663,-0.0367709626,-0.0052759276
-0.2576896787,0.0421502127,0.0119047619,-0.0327983858,-0.0707729903,-0.274004852,0,0.3348367207,-0.0476647537,-0.0033051896
-0.1006769658,-0.0539990799,-0.078125,0.0656447224,-0.1339195565,-0.1395859125,0.6,0.0216505349,0.0101808333,-0.0090112339
-0.1823262312,0.0117134533,0.0793650794,0.0218496302,-0.246034516,0.092279058,-0.0666666667,0.0281456954,0.0107218049,-0.0168663584
0.0614515275,-0.0145841575,-0.0549450549,-0.1528730208,-0.1125092562,0.0704837065,-0.1,-0.006254599,-0.0049857667,-0.0163960761
1,0.4269618211,0.7936507937,0.2739201446,0.7838800053,0.1021306778,0.8,-0.0562913907,-0.0503587051,0.2621140872
-0.0192467231,0.0640557809,-0.1202623907,0.4029436414,0.4959985878,0.1278577061,0,0.0089204936,-0.0008819316,0.0407540899
0.077076412,-0.0048796488,0.0223214286,0.4965013328,0.3949745894,0.1566379735,0,0.0283439045,0.0015430875,0.0115357262
0.0575396825,-0.0877092884,-0.0297619048,0.6191767536,0.3115145517,-0.0116758614,-0.04,-0.0107804423,0.0011663204,0.0093784146
0.0764541111,-0.0099283046,0,0.6212848067,0.2731590441,0.0414127598,-0.05,-0.0157716564,0.0015566312,0.0077447349
0.2092832541,0.0516246423,0.0714285714,0.2181172316,0.3639815473,0.1326946918,0.1333333333,0.0663434248,0.003389088,-0.0003789797
-0.1878846777,0.0007821574,-0.0255102041,0.1240358843,0.0756252434,-0.0707077726,-0.04,0.0654197244,-0.010193111,-0.0019384287
-0.1710353866,0.0471203654,0.0297619048,-0.010307849,-0.0979010775,-0.2382822814,-0.05,0.0253311258,-0.0155441854,-0.0039972297
-0.0768084754,-0.0915891083,-0.0680272109,-0.0824817269,-0.1314467869,-0.3547321343,-0.0666666667,0.0001386487,-0.0341891059,-0.0073157247
-0.1736238151,-0.0940722526,0.0137362637,-0.2169129956,-0.2369245846,-0.2701385408,-0.1,0.0153521975,0.0852463749,-0.0158060506
-0.1754621849,-0.0969037767,0,-0.4255526107,-0.3086773781,-0.1124224378,-0.2,-0.0061186294,0.0119876853,-0.3395996168
-0.197044335,0.0396764429,0.0637755102,-0.4296244093,-0.3749822005,0.1755605927,0,-0.0034698463,0.0062027943,0.0148336341
-0.0199415506,-0.0695672401,-0.0281954887,-0.3491358797,-0.2691092021,-0.0579909997,0,-0.0018064525,0.0004386959,0.0047682661
0.0399311532,-0.0972427633,-0.0223214286,-0.2878952108,-0.1464873655,0.1219090695,0.2,-0.0045433544,-0.003443439,0.0022395147
0.478021978,0.093007842,0.2678571429,0.0643895652,0.3120107036,-0.1170245033,0.8,-0.0382031925,-0.0298884553,-0.0026918183
0.0193591455,0.0261659605,-0.1071428571,0.1714596281,0.2234666375,-0.0996044092,-0.04,-0.0051173992,0.0013475645,-0.0068438428
0.1353558926,0.0392875803,-0.012755102,0.3522902219,0.2663131622,0.0136793098,0.05,-0.0245844033,0.0088059333,-0.0153573711
0.1917989418,0.0915628044,-0.0137362637,0.4660635915,0.3441315214,0.1237879846,0,-0.0395745535,0.0066751204,-0.2521938101
0.2464857797,0.566934217,0.2083333333,0.5765945495,0.4438524514,0.3681312593,0,0.2486203091,0.0043581112,0.0185580844
0.4670639394,0.2848115257,0.0412087912,0.579634727,0.7044949416,0.3456992926,0,-0.0268721345,0.0036364939,0.0051665272
0.1090225564,0.1613929372,-0.0334821429,0.6233410096,0.5592753761,0.2460016712,0,-0.0215719842,0.0004859919,0.0034388586
0.4693432929,0.2544362502,0.0755494505,0.8063028525,0.7838149829,0.2406129888,0,-0.0035182119,0.001442493,0.0028438189
0.544188862,0.2229776311,-0.0048262548,1,1,0.2055892535,0,-0.0112582781,0.0008119544,0.002839464
-0.4419047619,0.0850494076,-0.0148809524,0.6004877882,0.2524809702,0.0741232279,-0.04,0.3649234985,-0.0107115121,0.000108625
0,-0.0797169451,0.0432900433,0.3536263588,0.1673366017,-0.1955993692,-0.05,0.0020104068,6.64630296185772E-18,-0.0010235649
-0.261929851,-0.0950324386,-0.0304878049,0.1517245706,-0.1168400397,-0.1739491584,-0.0666666667,0.0468916898,-0.0129330398,-0.0022827462
-0.0709697155,-0.1069802885,-0.0525210084,-0.1323119052,-0.1390623771,-0.3525873804,-0.1,0.0108161578,-0.0101488641,-0.0052865091
0.0356374808,-0.1470292401,-0.0520833333,-0.4075876239,-0.0624322354,-0.3292869061,-0.2,-0.0027770419,0.0108771081,-0.0117175578
-0.0533415083,-0.1477750601,0.031512605,-0.1913122714,-0.0876147984,-0.3678968894,0,0.0003059315,-0.0141547767,-0.0231502546
0.0891896048,-0.2059547508,-0.0178571429,-0.144098171,0.0181817319,-0.3628600176,0.2,-0.0076069447,0.0903245188,0.0354032369
-0.3548485775,-0.1304870145,0.0396825397,-0.1927494746,-0.2945982356,0.0532839635,-0.2,0.0226981414,-0.0575918644,0.0077768553
0.1450453267,-0.1927873733,-0.0324675325,-0.0774321881,-0.0742224046,0.1597853005,0.2,-0.0201872574,-0.0134893617,-0.0008419191
