"volume_lastvolume_ratio","ad_ratio","ma5_ratio","wma5_ratio","apo5_ratio","aroonup5_ratio","aroonosc5_ratio","rsi5_ratio","macdhist5_ratio","cmo5_ratio"
-0.0334604315,0.0467900299,-0.0790217513,-0.133612841,-0.0135917058,-0.0666666667,0.0833333333,-0.0294727016,0.0125271011,0.0112338492
-0.0006715582,0.0149252171,-0.1069164307,-0.0575640464,-0.03938574,-0.1,0,0.0405780603,-0.001685506,-0.0028940401
-0.0040280465,0.0860467816,-0.1107191462,-0.0758518439,0.073507239,-0.2,0,-0.0167941195,0.0005791892,0.0054418432
0.0178427101,-0.089365383,0.024745801,0.0789245624,-0.0034583899,0,-0.0555555556,0.0590981405,-0.0067001521,-0.0068673628
-0.016759103,0.0381586505,0.0277726352,0.0757594224,-0.0030388225,1,-0.5,0.0010521199,0.0040037149,0.0003203599
0.0073413257,0.063883216,0.1017985514,0.0852960779,-0.020204243,0,0.0416666667,0.0047859302,0.0006594175,0.0013699551
-0.028703499,0.0190639557,0.0644040351,0.0553522018,-0.0729726935,-0.04,-0.1,0,-0.0007943249,0
0.0022699325,0.0711601058,0.0794640402,0.0098315783,0.0486191629,-0.05,0,-0.0139191389,-0.0027381256,-0.0031640474
0.0280931546,-0.0064945846,-0.0182485629,-0.0355538799,-0.003955606,-0.0666666667,0,-0.0125879691,-0.0067446656,-0.0096594858
-0.0364758188,0.0520501822,-0.0364706946,-0.052514386,-0.006925128,-0.1,-0.4166666667,-0.0134135809,0.0094139326,0.0069373198
0.0268325665,0.0737235911,-0.0701103595,-0.0732507662,-0.0247375225,-0.2,0.1111111111,-0.0187727497,0.0026036245,0.0031488195
0.1961072922,0.0938489517,-0.1194559437,-0.1249029818,-0.2720169679,0.2,-0.0333333333,-0.0340919112,0.0030722725,0.0026183953
-0.0275903608,-0.0060031929,-0.049369716,-0.0135926348,0.0213440268,-0.2,0,0.1222874675,-0.0026844904,-0.0036809057
0.0076227661,0.0821172095,-0.0958970872,-0.0897926615,0.0071369483,0.2,-0.0833333333,-0.0302629463,0.0030149685,0.016213542
-0.0390736004,0.0603001818,-0.0840422832,-0.06663612,0.003403924,-0.2,0.25,-0.0018578001,-0.0005273932,0.0001391298
-0.0069165373,0.0415532333,-0.0437837555,-0.014620422,-0.0018114653,0.2,-0.0666666667,0.0275961499,-0.0030069595,-0.0019610026
-0.0509541505,0.0056042143,-0.0093946668,-0.0247815605,-0.0077703836,-0.2,0,-0.0111219946,-0.0022301681,0.0019092491
0.2864660208,0.1866935491,-0.1725830591,-0.182937013,0.0117472333,0,0.1111111111,-0.0475758323,0.0443662237,0.0049562633
-0.0667026465,0.0828817216,-0.1267895467,-0.1572720447,0.0018972539,0.4,-0.0666666667,-0.0077709218,0.0005684346,0.0001826382
0.0485867956,0.1105179525,-0.1245566066,-0.1213496502,0.0023630401,-0.1,0.0555555556,0,-0.0012802296,0
-0.066849545,-0.0107510213,-0.1319782143,-0.0664058188,0.0049027492,-0.2,0.0416666667,0.0475043887,-0.0029905447,-0.000981108
0.1216178113,0.113298599,-0.1978813827,-0.1467678854,0.0089317015,0,0,-0.0396177587,0.0060741545,0.0016078582
0.1699527474,-0.2615929391,0.144457169,0.247380228,-0.0114991255,1,-0.2,0.3547368312,-0.0162218069,-0.0060009074
-0.0463572598,0.0502414724,0.1626868275,0.2063118218,-0.0180031731,0,0.1666666667,0.0005203797,0.0014288719,0.0001010081
-0.0780855307,0.0694990768,0.0934476471,0.058795164,-0.0396368229,-0.04,0,-0.020244941,-0.0017121373,-0.003859406
-0.0112795218,0.0160183043,0.1121704387,0.0781006964,0.0993277928,-0.05,0,0.0101071405,-0.0007635287,0.0172123929
0.0046280152,0.0711224422,0.1337282876,-0.0379063539,0.0291119867,-0.0666666667,0,-0.0190976869,-0.0033352453,-0.007111387
0.0061833981,0.014479109,-0.1042409355,-0.1001333639,-0.0105544887,-0.1,-0.0833333333,-0.0061924053,-0.0078127417,0.0026922599
0.0373432414,-0.0506924027,-0.0508371617,0.0140064383,-0.014706265,-0.2,-0.8333333333,0.0292963893,-0.0093073954,-0.0072666865
