date,open,high,low,close,volume,close_ma5,volume_ma5,close_ma10,volume_ma10,close_ma15,volume_ma15,close_ma30,volume_ma30,close_ma60,volume_ma60
2020-02-17,26750,26750,26450,26450,288127,26820.0,444354.2,26965.0,453851.4,27150.0,446539.2,28036.666666666668,409482.0,28987.5,357468.7166666667
2020-02-18,26450,26600,26150,26200,451031,26670.0,443969.6,26905.0,435502.5,27053.333333333332,441579.86666666664,27938.333333333332,393263.13333333336,28900.0,360360.48333333334
2020-02-19,26100,26700,26100,26250,391808,26480.0,383750.0,26855.0,433410.3,26983.333333333332,447174.86666666664,27848.333333333332,401030.9,28825.0,361997.0833333333
2020-02-20,26100,26350,25750,25800,430445,26270.0,375764.6,26670.0,449432.9,26836.666666666668,442032.8,27736.666666666668,408324.9666666667,28749.166666666668,363328.86666666664
2020-02-21,25500,25750,25050,25050,469336,25950.0,406149.4,26445.0,458724.4,26670.0,447695.5333333333,27621.666666666668,412939.3333333333,28675.0,364147.18333333335
2020-02-24,24100,24500,23800,23800,687517,25420.0,486027.4,26120.0,465190.8,26450.0,464576.73333333334,27448.333333333332,422007.7,28571.666666666668,372215.2
2020-02-25,23500,24400,23350,24150,589514,25010.0,513724.0,25840.0,478846.8,26273.333333333332,461576.3333333333,27286.666666666668,431621.23333333334,28475.833333333332,372390.11666666664
2020-02-26,23700,24150,23600,23600,648056,24480.0,564973.6,25480.0,474361.8,26063.333333333332,477264.73333333334,27093.333333333332,441314.1,28365.833333333332,380942.8
2020-02-27,23700,24150,23500,23850,405903,24090.0,560065.2,25180.0,467914.9,25810.0,486310.3333333333,26911.666666666668,443411.26666666666,28260.833333333332,384274.6666666667
2020-02-28,23250,23550,22750,22800,962204,23640.0,658638.8,24795.0,532394.1,25510.0,525362.5333333333,26688.333333333332,468211.1,28151.666666666668,394117.01666666666
2020-03-02,23000,23650,22850,23050,429473,23490.0,607030.0,24455.0,546528.7,25243.333333333332,512470.5333333333,26496.666666666668,465511.4666666667,28036.666666666668,397284.7833333333
2020-03-03,23600,24000,23250,23350,574312,23330.0,603989.6,24170.0,558856.8,25003.333333333332,520561.06666666665,26321.666666666668,471144.0333333333,27923.333333333332,403424.25
2020-03-04,23450,23800,23250,23650,402946,23340.0,554967.6,23910.0,559970.6,24766.666666666668,501230.4,26153.333333333332,474437.5,27825.0,406666.55
2020-03-05,23700,24600,23550,24450,545039,23460.0,582794.8,23775.0,571430.0,24606.666666666668,506208.2,26023.333333333332,483679.06666666665,27745.0,412162.95
2020-03-06,24000,24150,23850,23950,393150,23690.0,468984.0,23665.0,563811.4,24426.666666666668,511257.4,25860.0,486256.2,27655.0,414891.35
2020-03-09,23600,24150,23250,23650,559149,23810.0,494919.2,23650.0,550974.6,24240.0,529325.5333333333,25695.0,487932.36666666664,27559.166666666668,421865.55
